"customer_id","chat_consultation_id","partner_id"
"fcus_01HYRCSC2SBM71ZQVAK02DA3BR","fchat_01k05wzade0bb2dgg7m6swmpp0","facct_01HFQCA04VNN4C98SV9ZJF7RQP"
"fcus_01k059mkd6n498t6gbksw4y5qx","fchat_01k059saw7ap5dv6vy6phcnfkn","facct_01jd84y7v7n0gmzrvkrc915yym"
"fcus_01k05sqqk9srt0zvz22hwmhqfb","fchat_01k05tkgysmcz01smerpbq965e","facct_01J4M4T1S6177KW87PBNAGRXGY"
"fcus_01k05pw36wfmrwdabxwjdyjnb5","fchat_01k05q76z7h3qnef7n87s9mgvm","facct_01jfbphn9ffh552ksa2yxa0y7p"
"fcus_01k05pw36wfmrwdabxwjdyjnb5","fchat_01k05q7qgrxf406acs9ybn5y9y","facct_01jfbphn9ffh552ksa2yxa0y7p"
"fcus_01k05pw36wfmrwdabxwjdyjnb5","fchat_01k05q8m1afsyevd4a2rjkze2g","facct_01jfbphn9ffh552ksa2yxa0y7p"
"fcus_01k05pw36wfmrwdabxwjdyjnb5","fchat_01k05qcspsbzb22bg13g6e3ycc","facct_01jfbphn9ffh552ksa2yxa0y7p"
"fcus_01k05pw36wfmrwdabxwjdyjnb5","fchat_01k05qm37kwyw0g3rj9w1gnm3y","facct_01jfbphn9ffh552ksa2yxa0y7p"
"fcus_01k05qqqhmts5frbgsfr62gvvr","fchat_01k05qtvb4jxn32f543kd6bc11","facct_01jfg08wqx56ptg57sqvf5ktc0"
"fcus_01k05rf42g9xnpf5r463gs7a2t","fchat_01k05rhhkfg6r82ne3ft5v9n6w","facct_01J8TW7F2DPYTG6J2RZG9Q441V"
"fcus_01k05s0xx5wbp1vy9datkn8e94","fchat_01k05s324v6e9278zmv2ajmgmw","facct_01J8TW7F2DPYTG6J2RZG9Q441V"
"fcus_01k05sbfzn2pty70mrmqdxvyzd","fchat_01k05sdqqc9bgkmeqjdrc39t1q","facct_01J8TW7F2DPYTG6J2RZG9Q441V"
"fcus_01k05smpcb6t1sxft7sjr94n11","fchat_01k05sspdxryn7ey36mpjxn09d","facct_01jax4wzdban2wyspvbytgfr0x"
"fcus_01k05sme7k0mbs1yxznjbmsm38","fchat_01k05swe0bgb5mcjxjmyhheyb3","facct_01jjd7xke3h1p1tj4rvdp9cf6z"
"fcus_01jyrwmewa5nyz7vd60at1jg86","fchat_01k05ta1v9f566j3e6rntv8nxw","facct_01jkc7r3mewvmr4t5ht7d7jdys"
"fcus_01k05vxpqybwhwmw3n19y79re8","fchat_01k05vzb2fbyz5ch1px591m17k","facct_01J4M4T1S6177KW87PBNAGRXGY"
"fcus_01k05vdjyxemxx06xkbxme0zgg","fchat_01k05vjqz35wyfs1vxvjjn1xdx","facct_01jmmsz07rkdrzrm2nnzam5kh2"
"fcus_01k05v6sb0v3dm2ff69x89bk9z","fchat_01k05vb5120jsytv5w6sys0ggh","facct_01j9c6mj37dhsrjsqknvwhg9s6"
"fcus_01k05vsm9fvsqr6bhfv6qmy94z","fchat_01k05vv6kqg8a2hs1zys4f8qq4","facct_01HYEFR89PPRM46D99X927SS3V"
"fcus_01k05x2mt770rqn6pwrcg23qwy","fchat_01k05x642k7ys5qmqw08qqaecw","facct_01jjd7xke3h1p1tj4rvdp9cf6z"
"fcus_01k059mkd6n498t6gbksw4y5qx","fchat_01k05xargnr5b7jxv0m3x8tfap","facct_01jd84y7v7n0gmzrvkrc915yym"
"fcus_01k059mkd6n498t6gbksw4y5qx","fchat_01k05xc67h7p7036gk8n6c5kvx","facct_01jd84y7v7n0gmzrvkrc915yym"
"fcus_01jzhgzanm9f0a4rv9d6c7xmmk","fchat_01k05y878251zq9d67cmxp61p0","facct_01J8TW7F2DPYTG6J2RZG9Q441V"
"fcus_01k05wdsqkk98ym264paq0vrnb","fchat_01k05wgrnb741m6z2psrrbzvqj","facct_01jkc7r3mewvmr4t5ht7d7jdys"
"fcus_01k05w4qb0mmgf3x5j8nmxve54","fchat_01k05w8486ztp2k0n6p80cy2pk","facct_01jxxfqtnb7ya4ns6hn3pg0g1k"
"fcus_01k05vqph6nfph58jaakaa4prz","fchat_01k05vwxjc89v9hsc8w4w2cdq4","facct_01J08TYMWDJ0SQKENJJX4FXEWT"
"fcus_01k05vf3eqwnzww8fmk9b652h7","fchat_01k05vh6c0kremrhq7w0d3ae8t","facct_01jwcp1cwn2ahjhtzcy9rrz03r"
"fcus_01k05tyn20y5j2mppt5bzqj3xx","fchat_01k05v41443dyzxz1zdgwcgzdh","facct_01jsd1k02gzfm00v7z69jtewd6"
"fcus_01k05t0716gd0cfpmfch764f3r","fchat_01k05tvhp5pqgphcbghd795vy4","facct_01J8TW7F2DPYTG6J2RZG9Q441V"
"fcus_01k05sbxhxy35fe0g8wr96zh4x","fchat_01k05spxvyg8tkyna4myeayjby","facct_01J8TW7F2DPYTG6J2RZG9Q441V"
"fcus_01k05r6s1gke07p0ttptabnf08","fchat_01k05r90qmrwnmx31yjwm1se1n","facct_01j9c6mj37dhsrjsqknvwhg9s6"
"fcus_01k05pw36wfmrwdabxwjdyjnb5","fchat_01k05r77dzjw89kv8sd82zeycr","facct_01jfbphn9ffh552ksa2yxa0y7p"
"fcus_01k05p3xamkr9bbhc2ypmgr3h1","fchat_01k05p5a9nhc63vyx2m8w7rkgc","facct_01J7Y2TS880S1CTM4ZHTNPXZMW"
